,Movie Name,Year of Release,Watch Time,Movie Rating,Meatscore of movie,Votes,Gross,Description
865,Miller's Crossing,(1990),115 min,7.7,66        ,"131,859",$5.08M,"Tom Reagan, an advisor to a Prohibition-era crime boss, tries to keep the peace between warring mobs but gets caught in divided loyalties."
866,Who Framed Roger Rabbit,(1988),104 min,7.7,83        ,"192,736",$156.45M,A toon-hating detective is a cartoon rabbit's only hope to prove his innocence when he is accused of murder.
867,Spoorloos,(1988),107 min,7.7,****,"37,347",%^%^%^,"Rex and Saskia, a young couple in love, are on vacation. They stop at a busy service station and Saskia is abducted. After three years and no sign of Saskia, Rex begins receiving letters from the abductor."
868,The Last Emperor,(1987),163 min,7.7,76        ,"99,475",$43.98M,The story of the final Emperor of China.
869,Evil Dead II,(1987),84 min,7.7,72        ,"156,630",$5.92M,The lone survivor of an onslaught of flesh-possessing spirits holes up in a cabin with a group of strangers while the demons continue their attack.
870,Empire of the Sun,(1987),153 min,7.7,62        ,"121,320",$22.24M,A young English boy struggles to survive under Japanese occupation of China during World War II.
871,Der Name der Rose,(1986),130 min,7.7,54        ,"105,888",$7.15M,An intellectually nonconformist friar investigates a series of mysterious deaths in an isolated abbey.
872,Down by Law,(1986),107 min,7.7,75        ,"50,301",$1.44M,"Two men are framed and sent to jail, where they meet a murderer who helps them escape and leave the state."
873,Blue Velvet,(1986),120 min,7.7,76        ,"191,110",$8.55M,"The discovery of a severed human ear found in a field leads a young man on an investigation related to a beautiful, mysterious nightclub singer and a group of psychopathic criminals who have kidnapped her child."
874,The Purple Rose of Cairo,(1985),82 min,7.7,75        ,"50,359",$10.63M,"In New Jersey in 1935, a movie character walks off the screen and into the real world."
875,After Hours,(I) (1985),97 min,7.7,90        ,"65,772",$10.60M,An ordinary word processor has the worst night of his life after he agrees to visit a girl in Soho who he met that evening at a coffee shop.
876,Zelig,(1983),79 min,7.7,****,"41,368",$11.80M,"""Documentary"" about a man who can look and act like whoever he's around, and meets various famous people."
877,The Verdict,(1982),129 min,7.7,77        ,"38,522",$54.00M,"An outcast, alcoholic Boston lawyer sees the chance to salvage his career and self-respect by taking a medical malpractice case to trial rather than settling."
878,Star Trek II: The Wrath of Khan,(1982),113 min,7.7,67        ,"117,485",$78.91M,"With the assistance of the Enterprise crew, Admiral Kirk must stop an old nemesis, Khan Noonien Singh, from using the life-generating Genesis Device as the ultimate weapon."
879,First Blood,(1982),93 min,7.7,61        ,"240,540",$47.21M,A veteran Green Beret is forced by a cruel Sheriff and his deputies to flee into the mountains and wage an escalating one-man war against his pursuers.
880,Ordinary People,(1980),124 min,7.7,86        ,"50,016",$54.80M,"The accidental death of the older son of an affluent family deeply strains the relationships among the bitter mother, the good-natured father, and the guilt-ridden younger son."
881,Airplane!,(1980),88 min,7.7,78        ,"226,938",$83.40M,A man afraid to fly must ensure that a plane lands safely after the pilots become sick.
882,Rupan sansei: Kariosutoro no shiro,(1979),100 min,7.7,72        ,"29,385",%^%^%^,"A dashing thief, his gang of desperadoes and an intrepid policeman struggle to free a princess from an evil count's clutches, and learn the hidden secret to a fabulous treasure that she holds part of a key to."
883,Halloween,(1978),91 min,7.7,87        ,"260,075",$47.00M,"Fifteen years after murdering his sister on Halloween night 1963, Michael Myers escapes from a mental hospital and returns to the small town of Haddonfield, Illinois to kill again."
884,Nashville,(1975),160 min,7.7,96        ,"25,474",$14.82M,"Over the course of a few hectic days, numerous interrelated people prepare for a political convention."
885,Love and Death,(1975),85 min,7.7,89        ,"37,698",%^%^%^,"In czarist Russia, a neurotic soldier and his distant cousin formulate a plot to assassinate Napoleon."
886,The Taking of Pelham One Two Three,(1974),104 min,7.7,68        ,"29,437",$2.49M,"Four armed men hijack a New York City subway car and demand a ransom for the passengers. The city's police are faced with a conundrum: Even if it's paid, how could they get away?"
887,Blazing Saddles,(1974),93 min,7.7,73        ,"133,261",$119.50M,"In order to ruin a western town, a corrupt politician appoints a black Sheriff, who promptly becomes his most formidable adversary."
888,Serpico,(1973),130 min,7.7,87        ,"117,962",$29.80M,An honest New York cop named Frank Serpico blows the whistle on rampant corruption in the force only to have his comrades turn against him.
889,Enter the Dragon,(1973),102 min,7.7,83        ,"101,645",$25.00M,A secret agent comes to an opium lord's island fortress with other fighters for a martial-arts tournament.
890,Deliverance,(1972),109 min,7.7,80        ,"104,439",$7.06M,"Intent on seeing the Cahulawassee River before it's dammed and turned into a lake, outdoor fanatic Lewis Medlock takes his friends on a canoeing trip they'll never forget into the dangerous American back-country."
891,The French Connection,(1971),104 min,7.7,94        ,"117,246",$15.63M,"A pair of NYPD detectives in the Narcotics Bureau stumble onto a heroin smuggling ring based in Marseilles, but stopping them and capturing their leaders proves an elusive goal."
892,Dirty Harry,(1971),102 min,7.7,87        ,"150,696",$35.90M,"When a madman calling himself ""the Scorpio Killer"" menaces the city, tough-as-nails San Francisco Police Inspector ""Dirty"" Harry Callahan is assigned to track down and ferret out the crazed psychopath."
893,The Odd Couple,(1968),105 min,7.7,86        ,"33,852",$44.53M,"A New Yorker newly separated from his wife moves in with his best friend, a divorced sportswriter, but their ideas of housekeeping and lifestyles are as different as night and day."
894,The Dirty Dozen,(1967),150 min,7.7,73        ,"70,581",$45.30M,"During World War II, a rebellious U.S. Army Major is assigned a dozen convicted murderers to train and lead them into a mass assassination mission of German officers."
895,Belle de jour,(1967),100 min,7.7,****,"42,808",$0.03M,A frigid young housewife decides to spend her midweek afternoons as a prostitute.
896,A Man for All Seasons,(1966),120 min,7.7,72        ,"33,555",$28.35M,"The story of Sir Thomas More, who stood up to King Henry VIII when the King rejected the Roman Catholic Church to obtain a divorce and remarry."
897,Repulsion,(1965),105 min,7.7,91        ,"51,751",%^%^%^,A sex-repulsed woman who disapproves of her sister's boyfriend sinks into depression and has horrific visions of rape and violence.
898,Zulu,(1964),138 min,7.7,77        ,"38,057",%^%^%^,Outnumbered British soldiers do battle with Zulu warriors at Rorke's Drift.
899,Goldfinger,(1964),110 min,7.7,87        ,"183,478",$51.08M,"While investigating a gold magnate's smuggling, James Bond uncovers a plot to contaminate the Fort Knox gold reserve."
900,The Birds,(1963),119 min,7.7,90        ,"181,597",$11.40M,A wealthy San Francisco socialite pursues a potential boyfriend to a small Northern California town that slowly takes a turn for the bizarre when birds of all kinds suddenly begin to attack people.
901,Cape Fear,(1962),106 min,7.7,76        ,"28,140",%^%^%^,A lawyer's family is stalked by a man he once helped put in jail.
902,Peeping Tom,(1960),101 min,7.7,****,"33,882",$0.08M,"A young man murders women, using a movie camera to film their dying expressions of terror."
903,The Magnificent Seven,(1960),128 min,7.7,74        ,"92,125",$4.91M,Seven gunfighters are hired by Mexican peasants to liberate their village from oppressive bandits.
904,Les yeux sans visage,(1960),90 min,7.7,90        ,"30,217",$0.05M,A surgeon causes an accident which leaves his daughter disfigured and goes to extreme lengths to give her a new face.
905,Invasion of the Body Snatchers,(1956),80 min,7.7,92        ,"47,881",%^%^%^,A small-town doctor learns that the population of his community is being replaced by emotionless alien duplicates.
906,Rebel Without a Cause,(1955),111 min,7.7,89        ,"87,612",%^%^%^,"A rebellious young man with a troubled past comes to a new town, finding friends and enemies."
907,The Ladykillers,(1955),91 min,7.7,91        ,"28,445",%^%^%^,Five oddball criminals planning a bank robbery rent rooms on a cul-de-sac from an octogenarian widow under the pretext that they are classical musicians.
908,The Caine Mutiny,(1954),124 min,7.7,63        ,"26,938",$21.75M,"When a U.S. Naval captain shows signs of mental instability that jeopardizes the ship, the first officer relieves him of command and faces court martial for mutiny."
909,The Day the Earth Stood Still,(1951),92 min,7.7,****,"80,124",%^%^%^,"An alien lands in Washington, D.C. and tells the people of Earth that they must live peacefully or be destroyed as a danger to other planets."
910,Fantasia,(1940),125 min,7.7,96        ,"92,746",$76.41M,"A collection of animated interpretations of great works of Western classical music, ranging from the abstract to depictions of mythology and fantasy, and settings including the prehistoric, supernatural and sacred."
911,The Invisible Man,(1933),71 min,7.7,87        ,"33,550",%^%^%^,"A scientist finds a way of becoming invisible, but in doing so, he becomes murderously insane."
912,Dark Waters,(2019),126 min,7.6,73        ,"76,972",%^%^%^,A corporate defense attorney takes on an environmental lawsuit against a chemical company that exposes a lengthy history of pollution.
913,Searching,(III) (2018),102 min,7.6,71        ,"154,632",$26.02M,"After his teenage daughter goes missing, a desperate father tries to find clues on her laptop."
914,Once Upon a Time in... Hollywood,(2019),161 min,7.6,83        ,"654,897",$142.50M,A faded television actor and his stunt double strive to achieve fame and success in the final years of Hollywood's Golden Age in 1969 Los Angeles.
915,Nelyubov,(2017),127 min,7.6,86        ,"32,018",$0.57M,A couple going through a divorce must team up to find their son who has disappeared during one of their bitter arguments.
916,Busanhaeng,(2016),118 min,7.6,72        ,"196,736",$2.13M,"While a zombie virus breaks out in South Korea, passengers struggle to survive on the train from Seoul to Busan."
917,The Florida Project,(2017),111 min,7.6,92        ,"105,541",$5.90M,"Set over one summer, the film follows precocious six-year-old Moonee as she courts mischief and adventure with her ragtag playmates and bonds with her rebellious but caring mother, all while living in the shadows of Walt Disney World."
918,Just Mercy,(2019),137 min,7.6,68        ,"58,752",%^%^%^,World-renowned civil rights defense attorney Bryan Stevenson works to free a wrongly condemned death row prisoner.
919,Gifted,(2017),101 min,7.6,60        ,"109,390",$24.80M,"Frank, a single man raising his child prodigy niece Mary, is drawn into a custody battle with his mother."
920,Victoria,(II) (2015),138 min,7.6,77        ,"56,561",%^%^%^,A young Spanish woman who has recently moved to Berlin finds her flirtation with a local guy turn potentially deadly as their night out with his friends reveals a dangerous secret.
921,Guardians of the Galaxy Vol. 2,(2017),136 min,7.6,67        ,"622,183",$389.81M,"The Guardians struggle to keep together as a team while dealing with their personal family issues, notably Star-Lord's encounter with his father the ambitious celestial being Ego."
922,Only the Brave,(2017),134 min,7.6,72        ,"64,541",$18.34M,"Based on the true story of the Granite Mountain Hotshots, a group of elite firefighters who risk everything to protect a town from a historic wildfire."
923,Incredibles 2,(2018),118 min,7.6,80        ,"273,580",$608.58M,The Incredibles family takes on a new mission which involves a change in family roles: Bob Parr (Mr. Incredible) must manage the house while his wife Helen (Elastigirl) goes out to save the world.
924,Moana,(I) (2016),107 min,7.6,81        ,"302,816",$248.76M,"In Ancient Polynesia, when a terrible curse incurred by the Demigod Maui reaches Moana's island, she answers the Ocean's call to seek out the Demigod to set things right."
925,Sicario,(2015),121 min,7.6,82        ,"403,232",$46.89M,An idealistic FBI agent is enlisted by a government task force to aid in the escalating war against drugs at the border area between the U.S. and Mexico.
926,Creed,(II) (2015),133 min,7.6,82        ,"261,244",$109.77M,"The former World Heavyweight Champion Rocky Balboa serves as a trainer and mentor to Adonis Johnson, the son of his late friend and former rival Apollo Creed."
927,Leviafan,(2014),140 min,7.6,92        ,"51,954",$1.09M,"In a Russian coastal town, Kolya is forced to fight the corrupt mayor when he is told that his house will be demolished. He recruits a lawyer friend to help, but the man's arrival brings further misfortune for Kolya and his family."
928,Hell or High Water,(II) (2016),102 min,7.6,88        ,"217,191",$26.86M,A divorced father and his ex-con older brother resort to a desperate scheme in order to save their family's ranch in West Texas.
929,Philomena,(2013),98 min,7.6,77        ,"97,812",$37.71M,"A world-weary political journalist picks up the story of a woman's search for her son, who was taken away from her decades ago after she became pregnant and was forced to live in a convent."
930,El cuerpo,(2012),112 min,7.6,****,"62,665",%^%^%^,A detective searches for the body of a femme fatale which has gone missing from a morgue.
931,Serbuan maut,(2011),101 min,7.6,73        ,"198,331",$4.11M,A S.W.A.T. team becomes trapped in a tenement run by a ruthless mobster and his army of killers and thugs.
932,End of Watch,(2012),109 min,7.6,68        ,"238,224",$41.00M,"Shot documentary-style, this film follows the daily grind of two young police officers in LA who are partners and friends, and what happens when they meet criminal forces greater than themselves."
933,A Star Is Born,(2018),136 min,7.6,88        ,"360,964",$215.29M,A musician helps a young singer find fame as age and alcoholism send his own career into a downward spiral.
934,True Grit,(2010),110 min,7.6,80        ,"326,338",$171.24M,A stubborn teenager enlists the help of a tough U.S. Marshal to track down her father's murderer.
935,Hævnen,(2010),118 min,7.6,65        ,"39,559",$1.01M,"The lives of two Danish families cross each other, and an extraordinary but risky friendship comes into bud. But loneliness, frailty and sorrow lie in wait."
936,Despicable Me,(2010),95 min,7.6,72        ,"521,648",$251.51M,"When a criminal mastermind uses a trio of orphan girls as pawns for a grand scheme, he finds their love is profoundly changing him for the better."
937,50/50,(2011),100 min,7.6,72        ,"323,884",$35.01M,"Inspired by a true story, a comedy centered on a 27-year-old guy who learns of his cancer diagnosis and his subsequent struggle to beat the disease."
938,Celda 211,(2009),113 min,7.6,****,"66,206",%^%^%^,"The story of two men on different sides of a prison riot -- the inmate leading the rebellion and the young guard trapped in the revolt, who poses as a prisoner in a desperate attempt to survive the ordeal."
939,Moneyball,(2011),133 min,7.6,87        ,"397,483",$75.61M,Oakland A's general manager Billy Beane's successful attempt to assemble a baseball team on a lean budget by employing computer-generated analysis to acquire new players.
940,La piel que habito,(2011),120 min,7.6,70        ,"146,843",$3.19M,"A brilliant plastic surgeon, haunted by past tragedies, creates a type of synthetic skin that withstands any kind of damage. His guinea pig: a mysterious and volatile woman who holds the key to his obsession."
941,Zombieland,(2009),88 min,7.6,73        ,"548,059",$75.59M,"A shy student trying to reach his family in Ohio, a gun-toting bruiser in search of the last Twinkie and a pair of sisters striving to get to an amusement park join forces in a trek across a zombie-filled America."
942,Die Welle,(2008),107 min,7.6,****,"106,484",%^%^%^,A high school teacher's experiment to demonstrate to his students what life is like under a dictatorship spins horribly out of control when he forms a social unit with a life of its own.
943,Sherlock Holmes,(2009),128 min,7.6,57        ,"608,255",$209.03M,Detective Sherlock Holmes and his stalwart partner Watson engage in a battle of wits and brawn with a nemesis whose plot is a threat to all of England.
944,The Blind Side,(2009),129 min,7.6,53        ,"312,231",$255.96M,"The story of Michael Oher, a homeless and traumatized boy who became an All-American football player and first-round NFL draft pick with the help of a caring woman and her family."
945,Seven Pounds,(2008),123 min,7.6,36        ,"295,724",$69.95M,A man with a fateful secret embarks on an extraordinary journey of redemption by forever changing the lives of seven strangers.
946,Eastern Promises,(2007),100 min,7.6,82        ,"236,421",$17.11M,A teenager who dies during childbirth leaves clues in her journal that could tie her child to a rape involving a violent Russian mob family.
947,Stardust,(2007),127 min,7.6,66        ,"264,853",$38.63M,"In a countryside town bordering on a magical land, a young man makes a promise to his beloved that he'll retrieve a fallen star by venturing into the magical realm."
948,The Secret of Kells,(2009),71 min,7.6,81        ,"34,190",$0.69M,"A young boy in a remote medieval outpost under siege from barbarian raids is beckoned to adventure when a celebrated master illuminator arrives with an ancient book, brimming with secret wisdom and powers."
949,Inside Man,(2006),129 min,7.6,76        ,"357,221",$88.51M,"A police detective, a bank robber, and a high-power broker enter high-stakes negotiations after the criminal's brilliant heist spirals into a hostage situation."
950,Gone Baby Gone,(2007),114 min,7.6,72        ,"264,702",$20.30M,"Two Boston area detectives investigate a little girl's kidnapping, which ultimately turns into a crisis both professionally and personally."
951,Harry Potter and the Half-Blood Prince,(2009),153 min,7.6,78        ,"506,893",$301.96M,"As Harry Potter begins his sixth year at Hogwarts, he discovers an old book marked as ""the property of the Half-Blood Prince"" and begins to learn more about Lord Voldemort's dark past."
952,300,(2006),117 min,7.6,52        ,"762,627",$210.61M,King Leonidas of Sparta and a force of 300 men fight the Persians at Thermopylae in 480 B.C.
953,Match Point,(2005),124 min,7.6,72        ,"213,161",$23.09M,"At a turning point in his life, a former tennis pro falls for an actress who happens to be dating his friend and soon-to-be brother-in-law."
954,Watchmen,(2009),162 min,7.6,56        ,"530,170",$107.51M,"In 1985 where former superheroes exist, the murder of a colleague sends active vigilante Rorschach into his own sprawling investigation, uncovering something that could completely change the course of history as we know it."
955,Saw,(2004),103 min,7.6,46        ,"401,829",$56.00M,"Two strangers awaken in a room with no recollection of how they got there, and soon discover they're pawns in a deadly game perpetrated by a notorious serial killer."
956,Mysterious Skin,(2004),105 min,7.6,73        ,"67,911",$0.70M,"A teenage hustler and a young man obsessed with alien abductions cross paths, together discovering a horrible, liberating truth."
957,Un long dimanche de fiançailles,(2004),133 min,7.6,76        ,"72,544",$6.17M,"Tells the story of a young woman's relentless search for her fiancé, who has disappeared from the trenches of the Somme during World War One."
958,The Station Agent,(2003),89 min,7.6,81        ,"69,321",$5.74M,"When his only friend dies, a man born with dwarfism moves to rural New Jersey to live a life of solitude, only to meet a chatty hot dog vendor and a woman dealing with her own personal loss."
959,21 Grams,(2003),124 min,7.6,70        ,"231,920",$16.29M,"A freak accident brings together a critically ill mathematician, a grieving mother, and a born-again ex-con."
960,25th Hour,(2002),135 min,7.6,68        ,"175,536",$13.06M,"Cornered by the DEA, convicted New York drug dealer Montgomery Brogan reevaluates his life in the 24 remaining hours before facing a seven-year jail term."
961,The Butterfly Effect,(2004),113 min,7.6,30        ,"470,740",$57.94M,"Evan Treborn suffers blackouts during significant events of his life. As he grows up, he finds a way to remember these lost memories and a supernatural way to alter his life by reading his journal."
962,I Am Sam,(2001),132 min,7.6,28        ,"147,496",$40.31M,A mentally handicapped man fights for custody of his 7-year-old daughter and in the process teaches his cold-hearted lawyer the value of love and family.
963,Batoru rowaiaru,(2000),114 min,7.6,81        ,"177,925",%^%^%^,"In the future, the Japanese government captures a class of ninth-grade students and forces them to kill each other under the revolutionary ""Battle Royale"" act."
964,The Royal Tenenbaums,(2001),110 min,7.6,76        ,"280,050",$52.36M,The eccentric members of a dysfunctional family reluctantly gather under the same roof for various reasons.
965,Y tu mamá también,(2001),106 min,7.6,88        ,"120,077",$13.62M,"In Mexico, two teenage boys and an attractive older woman embark on a road trip and learn a thing or two about life, friendship, sex, and each other."
966,Harry Potter and the Sorcerer's Stone,(2001),152 min,7.6,65        ,"714,918",$317.58M,"An orphaned boy enrolls in a school of wizardry, where he learns the truth about himself, his family and the terrible evil that haunts the magical world."
967,The Others,(2001),101 min,7.6,74        ,"353,764",$96.52M,A woman who lives in her darkened old family house with her two photosensitive children becomes convinced that the home is haunted.
968,Minority Report,(2002),145 min,7.6,80        ,"530,856",$132.07M,"In a future where a special police unit is able to arrest murderers before they commit their crimes, an officer from that unit is himself accused of a future murder."
969,American Psycho,(2000),101 min,7.6,64        ,"536,728",$15.07M,"A wealthy New York City investment banking executive, Patrick Bateman, hides his alternate psychopathic ego from his co-workers and friends as he delves deeper into his violent, hedonistic fantasies."
970,The Thin Red Line,(1998),170 min,7.6,78        ,"181,805",$36.40M,"Adaptation of James Jones' autobiographical 1962 novel, focusing on the conflict at Guadalcanal during the second World War."
971,Dark City,(1998),100 min,7.6,66        ,"194,993",$14.38M,"A man struggles with memories of his past, which include a wife he cannot remember and a nightmarish world no one else ever seems to wake up from."
972,Lost Highway,(1997),134 min,7.6,52        ,"137,535",$3.80M,"Anonymous videotapes presage a musician's murder conviction, and a gangster's girlfriend leads a mechanic astray."
973,The Bridges of Madison County,(1995),135 min,7.6,69        ,"78,056",$71.52M,Photographer Robert Kincaid wanders into the life of housewife Francesca Johnson for four days in the 1960s.
974,Apollo 13,(I) (1995),140 min,7.6,77        ,"283,589",$173.84M,NASA must devise a strategy to return Apollo 13 to Earth safely after the spacecraft undergoes massive internal damage putting the lives of the three astronauts on board in jeopardy.
975,Trois couleurs: Blanc,(1994),92 min,7.6,88        ,"70,432",$1.46M,"After his wife divorces him, a Polish immigrant plots to get even with her."
976,Dazed and Confused,(1993),102 min,7.6,78        ,"175,851",$7.99M,The adventures of high school and junior high students on the last day of school in May 1976.
977,My Cousin Vinny,(1992),120 min,7.6,68        ,"116,437",$52.93M,"Two New Yorkers accused of murder in rural Alabama while on their way back to college call in the help of one of their cousins, a loudmouth lawyer with no trial experience."
978,Omohide poro poro,(1991),118 min,7.6,90        ,"30,108",$0.45M,A twenty-seven-year-old office worker travels to the countryside while reminiscing about her childhood in Tokyo.
979,Home Alone,(1990),103 min,7.6,63        ,"521,552",$285.76M,An eight-year-old troublemaker must protect his house from a pair of burglars when he is accidentally left home alone by his family during Christmas vacation.
980,When Harry Met Sally...,(1989),95 min,7.6,76        ,"207,828",$92.82M,"Harry and Sally have known each other for years, and are very good friends, but they fear sex would ruin the friendship."
981,The Naked Gun: From the Files of Police Squad!,(1988),85 min,7.6,76        ,"161,966",$78.76M,Incompetent police Detective Frank Drebin must foil an attempt to assassinate Queen Elizabeth II.
982,Withnail & I,(1987),107 min,7.6,84        ,"42,601",$1.54M,"In 1969, two substance-abusing, unemployed actors retreat to the countryside for a holiday that proves disastrous."
983,Lethal Weapon,(1987),109 min,7.6,68        ,"248,447",$65.21M,Two newly paired cops who are complete opposites must put aside their differences in order to catch a gang of drug smugglers.
984,Blood Simple,(1984),99 min,7.6,83        ,"93,060",$2.15M,"The owner of a seedy small-town Texas bar discovers that one of his employees is having an affair with his wife. A chaotic chain of misunderstandings, lies and mischief ensues after he devises a plot to have them murdered."
985,Mad Max 2,(1981),96 min,7.6,77        ,"174,335",$12.47M,"In the post-apocalyptic Australian wasteland, a cynical drifter agrees to help a small, gasoline-rich community escape a horde of bandits."
986,Watership Down,(1978),91 min,7.6,64        ,"35,518",%^%^%^,"Hoping to escape destruction by human developers and save their community, a colony of rabbits, led by Hazel and Fiver, seek out a safe place to set up a new warren."
987,Close Encounters of the Third Kind,(1977),138 min,7.6,90        ,"194,134",$132.09M,"Roy Neary, an Indiana electric lineman, finds his quiet and ordinary daily life turned upside down after a close encounter with a UFO, spurring him to an obsessed cross-country quest for answers as a momentous event approaches."
988,Le locataire,(1976),126 min,7.6,71        ,"42,508",$1.92M,A bureaucrat rents a Paris apartment where he finds himself drawn into a rabbit hole of dangerous paranoia.
989,Giù la testa,(1971),157 min,7.6,77        ,"33,441",$0.70M,A low-life bandit and an I.R.A. explosives expert rebel against the government and become heroes of the Mexican Revolution.
990,Kelly's Heroes,(1970),144 min,7.6,50        ,"47,750",$1.38M,A group of U.S. soldiers sneaks across enemy lines to get their hands on a secret stash of Nazi treasure.
991,Where Eagles Dare,(1968),158 min,7.6,63        ,"56,255",%^%^%^,"Allied agents stage a daring raid on a castle where the Nazis are holding American brigadier general George Carnaby prisoner, but that's not all that's really going on."
992,The Jungle Book,(1967),78 min,7.6,65        ,"174,384",$141.84M,Bagheera the Panther and Baloo the Bear have a difficult time trying to convince a boy to leave the jungle for human civilization.
993,Breakfast at Tiffany's,(1961),115 min,7.6,76        ,"174,120",%^%^%^,"A young New York socialite becomes interested in a young man who has moved into her apartment building, but her past threatens to get in the way."
994,Giant,(1956),201 min,7.6,84        ,"37,361",%^%^%^,Sprawling epic covering the life of a Texas cattle rancher and his family and associates.
995,Sabrina,(1954),113 min,7.6,72        ,"62,719",%^%^%^,"A playboy becomes interested in the daughter of his family's chauffeur, but it's his more serious brother who would be the better man for her."
996,From Here to Eternity,(1953),118 min,7.6,85        ,"45,636",$30.50M,"At a U.S. Army base in 1941 Hawaii, a private is cruelly punished for not boxing on his unit's team, while his commanding officer's wife and top aide begin a tentative affair."
997,Gilda,(1946),110 min,7.6,****,"31,207",%^%^%^,A small-time gambler hired to work in a Buenos Aires casino discovers his employer's new wife is his former lover.
998,Lifeboat,(1944),97 min,7.6,78        ,"28,052",%^%^%^,Several survivors of a torpedoed merchant ship in World War II find themselves in the same lifeboat with one of the crew members of the U-boat that sank their ship.
999,The 39 Steps,(1935),86 min,7.6,93        ,"55,059",%^%^%^,"A man in London tries to help a counter-espionage Agent. But when the Agent is killed, and the man stands accused, he must go on the run to save himself and stop a spy ring which is trying to steal top secret information."
1000,Jai Bhim,(2021),164 min,9.4,****,"154,891",%^%^%^,"When a tribal man is arrested for a case of alleged theft, his wife turns to a human-rights lawyer to help bring justice."
1001,The Shawshank Redemption,(1994),142 min,9.3,80        ,"2,502,929",$28.34M,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency."
1002,The Godfather,(1972),175 min,9.2,100        ,"1,725,397",$134.97M,"The Godfather follows Vito Corleone, Don of the Corleone family, as he passes the mantel to his unwilling son, Michael."
1003,Soorarai Pottru,(2020),153 min,9.1,****,"104,259",%^%^%^,"Nedumaaran Rajangam ""Maara"" sets out to make the common man fly and in the process takes on the world's most capital intensive industry and several enemies who stand in his way."
1004,The Dark Knight,(2008),152 min,9.0,84        ,"2,452,591",$534.86M,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice."
1005,The Godfather: Part II,(1974),202 min,9.0,90        ,"1,197,276",$57.30M,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate."
1006,12 Angry Men,(1957),96 min,9.0,96        ,"739,250",$4.36M,The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.
1007,The Lord of the Rings: The Return of the King,(2003),201 min,8.9,94        ,"1,729,159",$377.85M,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.
1008,Pulp Fiction,(1994),154 min,8.9,94        ,"1,931,434",$107.93M,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption."
1009,Schindler's List,(1993),195 min,8.9,94        ,"1,280,756",$96.90M,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis."
1010,Inception,(2010),148 min,8.8,74        ,"2,200,782",$292.58M,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster."
1011,Dara iz Jasenovca,(2020),130 min,8.8,****,"79,940",%^%^%^,Follows the story of a young girl named Dara who is sent to a concentration camp in Croatia during World War 2.
1012,Sardar Udham,(2021),164 min,8.8,****,"31,503",%^%^%^,A biopic detailing the 2 decades that Punjabi Sikh revolutionary Udham Singh spent planning the assassination of the man responsible for the Jallianwala Bagh massacre.
1013,Fight Club,(1999),139 min,8.8,66        ,"1,969,006",$37.03M,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.
1014,The Lord of the Rings: The Fellowship of the Ring,(2001),178 min,8.8,92        ,"1,750,462",$315.54M,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.
1015,Forrest Gump,(1994),142 min,8.8,82        ,"1,931,908",$330.25M,"The presidencies of Kennedy and Johnson, the Vietnam War, the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart."
1016,"Il buono, il brutto, il cattivo",(1966),161 min,8.8,90        ,"725,163",$6.10M,A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.
1017,Shershaah,(2021),135 min,8.7,****,"109,260",%^%^%^,"The story of PVC awardee Indian soldier Capt. Vikram Batra, who shot to fame and became a household name during the Kargil War in 1999."
1018,The Lord of the Rings: The Two Towers,(2002),179 min,8.7,87        ,"1,563,105",$342.55M,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard."
1019,The Matrix,(1999),136 min,8.7,73        ,"1,786,186",$171.48M,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence."
1020,Goodfellas,(1990),146 min,8.7,90        ,"1,083,728",$46.84M,"The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate."
1021,Star Wars: Episode V - The Empire Strikes Back,(1980),124 min,8.7,82        ,"1,217,899",$290.48M,"After the Rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued across the galaxy by Darth Vader and bounty hunter Boba Fett."
