,Movie Name,Year of Release,Watch Time,Movie Rating,Meatscore of movie,Votes,Gross,Description
47,The Lion King,(1994),88 min,8.5,88        ,"994,979",$422.78M,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself."
48,Terminator 2: Judgment Day,(1991),137 min,8.5,75        ,"1,043,748",$204.84M,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her ten-year-old son John from a more advanced and powerful cyborg."
49,Nuovo Cinema Paradiso,(1988),155 min,8.5,80        ,"248,260",$11.99M,A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist.
50,Hotaru no haka,(1988),89 min,8.5,94        ,"256,899",%^%^%^,A young boy and his little sister struggle to survive in Japan during World War II.
51,Back to the Future,(1985),116 min,8.5,87        ,"1,127,005",$210.61M,"Marty McFly, a 17-year-old high school student, is accidentally sent thirty years into the past in a time-traveling DeLorean invented by his close friend, the eccentric scientist Doc Brown."
52,Once Upon a Time in the West,(1968),165 min,8.5,80        ,"317,180",$5.32M,A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.
53,Psycho,(1960),109 min,8.5,97        ,"638,410",$32.00M,"A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run, and checks into a remote motel run by a young man under the domination of his mother."
54,Rear Window,(1954),112 min,8.5,100        ,"470,358",$36.76M,"A wheelchair-bound photographer spies on his neighbors from his Greenwich Village courtyard apartment window, and becomes convinced one of them has committed murder, despite the skepticism of his fashion-model girlfriend."
55,Casablanca,(1942),102 min,8.5,100        ,"547,894",$1.02M,A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.
56,Modern Times,(1936),87 min,8.5,96        ,"231,181",$0.16M,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.
57,City Lights,(1931),87 min,8.5,99        ,"177,763",$0.02M,"With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically."
58,Hamilton,(2020),160 min,8.4,90        ,"77,779",%^%^%^,"The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast."
59,Capharnaüm,(2018),126 min,8.4,75        ,"78,603",$1.66M,"While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect."
60,Joker,(2019),122 min,8.4,59        ,"1,105,679",$335.45M,"In Gotham City, mentally troubled comedian Arthur Fleck is disregarded and mistreated by society. He then embarks on a downward spiral of revolution and bloody crime. This path brings him face-to-face with his alter-ego: the Joker."
61,Ratsasan,(2018),170 min,8.4,****,"36,638",%^%^%^,A sub-inspector sets out in pursuit of a mysterious serial killer who targets teen school girls and murders them brutally.
62,Ayla: The Daughter of War,(2017),125 min,8.4,****,"37,544",%^%^%^,"In 1950, amid-st the ravages of the Korean War, Sergeant Süleyman stumbles upon a half-frozen little girl, with no parents and no help in sight. Frantic, scared and on the verge of death, ...                See full summary »"
63,Kimi no na wa.,(2016),106 min,8.4,79        ,"232,410",$5.02M,"Two strangers find themselves linked in a bizarre way. When a connection forms, will distance be the only thing to keep them apart?"
64,Dangal,(2016),161 min,8.4,****,"174,704",$12.39M,Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.
65,Spider-Man: Into the Spider-Verse,(2018),117 min,8.4,87        ,"442,420",$190.24M,"Teen Miles Morales becomes the Spider-Man of his universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities."
66,Avengers: Endgame,(2019),181 min,8.4,78        ,"970,375",$858.37M,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe."
67,Avengers: Infinity War,(2018),149 min,8.4,68        ,"948,448",$678.82M,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.
68,Coco,(I) (2017),105 min,8.4,81        ,"444,734",$209.73M,"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer."
69,Django Unchained,(2012),165 min,8.4,81        ,"1,447,750",$162.81M,"With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation-owner in Mississippi."
70,The Dark Knight Rises,(2012),164 min,8.4,78        ,"1,596,240",$448.14M,"Eight years after the Joker's reign of anarchy, Batman, with the help of the enigmatic Catwoman, is forced from his exile to save Gotham City from the brutal guerrilla terrorist Bane."
71,3 Idiots,(2009),170 min,8.4,67        ,"372,895",$6.53M,"Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots""."
72,Taare Zameen Par,(2007),165 min,8.4,****,"183,070",$1.22M,"An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school."
73,WALL·E,(2008),98 min,8.4,95        ,"1,053,967",$223.81M,"In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind."
74,The Lives of Others,(2006),137 min,8.4,89        ,"376,008",$11.29M,"In 1984 East Berlin, an agent of the secret police, conducting surveillance on a writer and his lover, finds himself becoming increasingly absorbed by their lives."
75,Oldeuboi,(2003),120 min,8.4,77        ,"547,864",$0.71M,"After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must find his captor in five days."
76,Memento,(2000),113 min,8.4,80        ,"1,180,326",$25.54M,A man with short-term memory loss attempts to track down his wife's murderer.
77,Mononoke-hime,(1997),134 min,8.4,76        ,"369,912",$2.38M,"On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime."
78,Raiders of the Lost Ark,(1981),115 min,8.4,85        ,"925,011",$248.16M,"In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before Adolf Hitler's Nazis can obtain its awesome powers."
79,The Shining,(1980),146 min,8.4,66        ,"957,686",$44.02M,"A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future."
80,Apocalypse Now,(1979),147 min,8.4,94        ,"636,645",$83.47M,A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.
81,Alien,(1979),117 min,8.4,89        ,"833,285",$78.90M,"After a space merchant vessel receives an unknown transmission as a distress call, one of the crew is attacked by a mysterious life form and they soon realize that its life cycle has merely begun."
82,Tengoku to jigoku,(1963),143 min,8.4,****,"40,618",%^%^%^,An executive of a Yokohama shoe company becomes a victim of extortion when his chauffeur's son is kidnapped by mistake and held for ransom.
83,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,(1964),95 min,8.4,97        ,"471,397",$0.28M,"An insane American general orders a bombing attack on the Soviet Union, triggering a path to nuclear holocaust that a war room full of politicians and generals frantically tries to stop."
84,Witness for the Prosecution,(1957),116 min,8.4,****,"118,088",$8.18M,A veteran British barrister must defend his client in a murder trial that has surprise after surprise.
85,Paths of Glory,(1957),88 min,8.4,90        ,"189,104",%^%^%^,"After refusing to attack an enemy position, a general accuses the soldiers of cowardice and their commanding officer must defend them."
86,Pather Panchali,(1955),125 min,8.4,****,"29,553",$0.54M,"Impoverished priest Harihar Ray, dreaming of a better life for himself and his family, leaves his rural Bengal village in search of work."
87,Sunset Blvd.,(1950),110 min,8.4,****,"213,263",%^%^%^,A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.
88,The Great Dictator,(1940),125 min,8.4,****,"215,176",$0.29M,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.
89,Chhichhore,(2019),143 min,8.3,****,"46,058",$0.90M,"A tragic incident forces Anirudh, a middle-aged man, to take a trip down memory lane and reminisce his college days along with his friends, who were labelled as losers."
90,1917,(2019),119 min,8.3,78        ,"511,700",$159.23M,"April 6th, 1917. As a regiment assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap."
91,Uri: The Surgical Strike,(2019),138 min,8.3,****,"53,860",$4.19M,"Indian army special forces execute a covert operation, avenging the killing of fellow army men at their base by a terrorist group."
92,Tumbbad,(2018),104 min,8.3,****,"38,564",%^%^%^,A mythological story about a goddess who created the entire universe. The plot revolves around the consequences when humans build a temple for her first-born.
93,K.G.F: Chapter 1,(2018),156 min,8.3,****,"49,745",%^%^%^,"In the 1970s, a fierce rebel rises against brutal oppression and becomes the symbol of hope to legions of downtrodden people."
94,Vikram Vedha,(2017),147 min,8.3,****,"34,866",%^%^%^,"Vikram, a no-nonsense police officer, accompanied by Simon, his partner, is on the hunt to capture Vedha, a smuggler and a murderer. Vedha tries to change Vikram's life, which leads to a conflict."
95,Drishyam,(2013),160 min,8.3,****,"38,700",%^%^%^,A man goes to extreme lengths to save his family from punishment after the family commits an accidental crime.
96,Jagten,(2012),115 min,8.3,77        ,"308,480",$0.69M,"A teacher lives a lonely life, all the while struggling over his son's custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent little lie."
97,Jodaeiye Nader az Simin,(2011),123 min,8.3,95        ,"234,261",$7.10M,A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer's disease.
98,Incendies,(2010),131 min,8.3,80        ,"165,916",$6.86M,Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes.
99,The Father,(I) (2020),97 min,8.3,88        ,"109,591",%^%^%^,"A man refuses all assistance from his daughter as he ages. As he tries to make sense of his changing circumstances, he begins to doubt his loved ones, his own mind and even the fabric of his reality."
100,Inglourious Basterds,(2009),153 min,8.3,69        ,"1,351,459",$120.54M,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same."
101,Eternal Sunshine of the Spotless Mind,(2004),108 min,8.3,89        ,"957,677",$34.40M,"When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories."
102,Le fabuleux destin d'Amélie Poulain,(2001),122 min,8.3,69        ,"730,359",$33.23M,"Amélie is an innocent and naive girl in Paris with her own sense of justice. She decides to help those around her and, along the way, discovers love."
103,Snatch,(2000),104 min,8.3,55        ,"819,423",$30.33M,"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond."
104,Requiem for a Dream,(2000),102 min,8.3,68        ,"802,762",$3.64M,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.
105,American Beauty,(1999),122 min,8.3,84        ,"1,112,895",$130.10M,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.
106,Good Will Hunting,(1997),126 min,8.3,70        ,"911,811",$138.43M,"Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life."
107,Bacheha-Ye aseman,(1997),89 min,8.3,77        ,"71,316",$0.93M,"After a boy loses his sister's pair of shoes, he goes on a series of adventures in order to find them. When he can't, he tries a new way to ""win"" a new pair."
108,Toy Story,(1995),81 min,8.3,95        ,"937,165",$191.80M,A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room.
109,Braveheart,(1995),178 min,8.3,68        ,"996,393",$75.60M,Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.
110,Reservoir Dogs,(1992),99 min,8.3,79        ,"967,835",$2.83M,"When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant."
111,Full Metal Jacket,(1987),116 min,8.3,76        ,"708,250",$46.36M,A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.
